"","assessorid","mgmt","country","assessorfull"
"1","NAFO-TRAC","NAFO","Multinational","Transboundary Resource Assessment Committee"
"2","NAFO-SC","NAFO","Multinational","NAFO Scientific Council"
"3","DFO","DFO","Canada","Department of Fisheries and Oceans"
"4","DFO-MAR","DFO","Canada","Department of Fisheries and Oceans - Maritimes Region"
"5","DFO-PAC","DFO","Canada","Department of Fisheries and Oceans - Pacific Region"
"6","DFO-NFLD","DFO","Canada","Department of Fisheries and Oceans - Newfoundland Region"
"7","DFO-QUE","DFO","Canada","Department of Fisheries and Oceans - Quebec Region"
"8","DFO-SG","DFO","Canada","Department of Fisheries and Oceans - Southern Gulf Region"
"9","DFO-ARCTIC","DFO","Canada","Department of Fisheries and Oceans - Arctic Region"
"10","AFWG","ICES","Multinational","Arctic Fisheries Working Group"
"11","WGBFAS","ICES","Multinational","Baltic Fisheries Assessment Working Group"
"12","HAWG","ICES","Multinational","Herring Assessment Working Group for the Area South of 62N"
"13","WGNPBW","ICES","Multinational","Northern Pelagic and Blue Whiting Fisheries Working Group"
"14","SGRS","ICES","Multinational","Study Group on Redfish Stocks"
"15","SGBASS","ICES","Multinational","Study Group on Sea Bass"
"16","WGNEPH","ICES","Multinational","Working Group on Nephrops Stocks"
"17","WGNSSK","ICES","Multinational","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak"
"18","WGMHSA","ICES","Multinational","Working Group on the Assessment of Mackerel"
"19","WGNSDS","ICES","Multinational","Working Group on the Assessment of Northern Shelf Demersal Stocks"
"20","WGSSDS","ICES","Multinational","Working Group on the Assessment of Southern Shelf Demersal Stocks"
"21","WGHMM","ICES","Multinational","Working Group on the Assessment of Southern Shelf Stocks of Hake, Monk and Megrim"
"22","NWWG","ICES","Multinational","North-Western Working Group"
"23","NMFS","NMFS","USA","NOAA Fisheries - National Marine Fisheries Service"
"24","AFSC","NMFS","USA","Alaska Fisheries Science Center"
"25","NEFSC","NMFS","USA","Northeast Fisheries Science Center"
"26","SEFSC","NMFS","USA","Southeast Fisheries Science Center"
"27","NWFSC","NMFS","USA"," Northwest Fisheries Science Center"
"28","PIFSC","NMFS","USA"," Pacific Fisheries Science Center"
"29","SWFSC","NMFS","USA"," Southwest Fisheries Science Center"
"30","NIWA","MFish","New Zealand","National Institute of Water and Atmospheric Research"
"31","RIDEM","US State","USA","Rhode Island Department of Environmental Management"
"32","CSIRO","AFMA","Australia","Commonwealth Scientific and Industrial Research Organization"
"33","TAFI","AFMA","Australia","Tasmanian Aquaculture and Fisheries Institute"
"34","IATTC","IATTC","Multinational","Inter-American Tropical Tuna Commission"
"35","RAM","_","","from RAM's original database"
"36","SPC","WCPFC","Multinational","Secretariat of the Pacific Community"
"37","ICCAT","ICCAT","Multinational","International Commission for the Conservation of Atlantic Tunas"
"38","INIDEP","CFP","Argentina","Instituto Nacional de Investigacion y Desarrollo Pesquero"
"39","MARAM","DETMCM","South Africa","Marine Resource Assessment and Management Group, Department of Mathematics and Applied Mathematics, University of Cape Town, Rondebosch, 7701, South Africa"
"40","IPHC","IPHC","Multinational","International Pacific Halibut Commission"
"41","NZMFishSHELLFISHWG","MFish","New Zealand","Shellfish Working Group"
"42","NZMFishLOBSTERWG","MFish","New Zealand","Lobster Working Group"
"43","NZMFishINSHOREWG","MFish","New Zealand","Inshore Working Group"
"44","NZMFishHOKIWG","MFish","New Zealand","Hoki Working Group"
"45","NZMFishMIDDEPTHSWG","MFish","New Zealand","Middle Depths Working Group"
"46","NZMFishDEEPWATER","MFish","New Zealand","Deepwater Working Group"
"47","IOTC","IOTC","Multinational","Indian Ocean Tuna Commission"
"48","ASMFC","NMFS","USA","Atlantic States Marine Fisheries Commission"
"49","IFOP","SPRFMO","multinational","Instituto de Fomento Pesquero - Chilean Fisheries Development Institute"
"50","SPRFMO","SPRFMO","multinational","South Pacific Regional Fisheries Management Organization"
"51","PFMC","NMFS","USA","Pacific Fishery Management Council"
"52","ADFG","NMFS","USA","Alaska Department of Fish and Game"
"53","SFI","RFFA","Russia","Sea Fisheries Institute Poland"
"54","VNIRO","RFFA","Russia","Russian Federal Research Institute of Fisheries and Oceanography"
"55","CCAMLR","CCAMLR","Multinational","Commission for the Conservation of Antarctic Marine Living Resources"
"56","IMARM","UNKNOWN","Taiwan","Institute of Marine Affairs and Resource Management - National Taiwan Ocean University, 2 Pei-Ning Road, Keelung 20224, Taiwan"
"57","IMARPE","IMARPE","Peru","Instituto del Mar del Peru"
"58","CSERG","Iran","Iran","Caspian Sea Ecology Research Center"
"59","CCSBT-SC","CCSBT","Multinational","CCSBT Scientific Committee"
